"1446 W LEXINGTON ST, CHICAGO, IL",-87.6635791,41.8727098,"Two to Six Apartments, Over 62 Years",0
"1447 W TAYLOR ST, CHICAGO, IL",-87.6635770999999,41.8691152999999,"Two to Six Apartments, Over 62 Years",0
"1448 W FILLMORE ST, CHICAGO, IL",-87.6635741999999,41.8686836999999,"Two to Six Apartments, Over 62 Years",0
"1448 W TAYLOR ST, CHICAGO, IL",-87.6635725,41.8695105999999,"Two to Six Apartments, Over 62 Years",0
"1447 W LEXINGTON ST, CHICAGO, IL",-87.6635703999999,41.8723115,"Two to Six Apartments, Over 62 Years",0
"1446 W POLK ST, CHICAGO, IL",-87.6635651999999,41.8718410999999,"Two to Six Apartments, Over 62 Years",0
"1444 W LEXINGTON ST, CHICAGO, IL",-87.6635038999999,41.8726910999999,"Two to Six Apartments, Over 62 Years",0
"1446 W TAYLOR ST, CHICAGO, IL",-87.6634841999999,41.8695193,"Two to Six Apartments, Over 62 Years",0
"1445 W LEXINGTON ST, CHICAGO, IL",-87.6634782,41.8723065,"Two to Six Apartments, Over 62 Years",0
"1444 W POLK ST, CHICAGO, IL",-87.6634757,41.8718559,"Two to Six Apartments, Over 62 Years",0
"1441 W FLOURNOY ST, CHICAGO, IL",-87.6634272,41.8730930999999,"Two to Six Apartments, Over 62 Years",0
"1442 W LEXINGTON ST, CHICAGO, IL",-87.6634154,41.8726946,"Two to Six Apartments, Over 62 Years",0
"1440 W FLOURNOY ST, CHICAGO, IL",-87.6634056999999,41.8735357999999,"Two to Six Apartments, Over 62 Years",0
"1443 W TAYLOR ST, CHICAGO, IL",-87.6634027,41.8690815,"Mixed use commercial/residential with apts. above seven units or more or building sq. ft. over 20,000",0
"1441 W LEXINGTON ST, CHICAGO, IL",-87.6633997999999,41.8723071,"Two to Six Apartments, Over 62 Years",0
"1444 W TAYLOR ST, CHICAGO, IL",-87.6633858,41.8695227999999,"Mixed use commercial/residential with apts. above seven units or more or building sq. ft. over 20,000",0
"1442 W POLK ST, CHICAGO, IL",-87.6633822999999,41.8718787999999,"Two to Six Apartments, Over 62 Years",0
"1438 W FLOURNOY ST, CHICAGO, IL",-87.6633511,41.8735514999999,"Two to Six Apartments, Over 62 Years",0
"1439 W FLOURNOY ST, CHICAGO, IL",-87.6633288999999,41.8730979999999,"Two to Six Apartments, Over 62 Years",0
"1439 W LEXINGTON ST, CHICAGO, IL",-87.6633156999999,41.8723097999999,"Two to Six Apartments, Over 62 Years",0
"1438 W LEXINGTON ST, CHICAGO, IL",-87.6633144,41.8727169,"Two to Six Apartments, Over 62 Years",0
"1442 W TAYLOR ST, CHICAGO, IL",-87.6632823,41.8695221999999,"Mixed use commercial/residential with apts. above seven units or more or building sq. ft. over 20,000",0
"810 S BISHOP ST, CHICAGO, IL",-87.6632584999999,41.8712664999999,"Two to Six Apartments, Over 62 Years",0
"1436 W FLOURNOY ST, CHICAGO, IL",-87.6632563999999,41.8735509999999,"Two to Six Apartments, Over 62 Years",0
"814 S BISHOP ST, CHICAGO, IL",-87.6632453,41.8711977,"Two to Six Apartments, Over 62 Years",0
"1436 W LEXINGTON ST, CHICAGO, IL",-87.6632397999999,41.8727249,"Two to Six Apartments, Over 62 Years",0
"816 S BISHOP ST, CHICAGO, IL",-87.6632390999999,41.8711310999999,"Two to Six Apartments, Over 62 Years",0
"1437 W FLOURNOY ST, CHICAGO, IL",-87.6632374,41.8731129,"Two to Six Apartments, Over 62 Years",0
"808 S BISHOP ST, CHICAGO, IL",-87.6632369,41.8713357,"Two to Six Apartments, Over 62 Years",0
"804 S BISHOP ST, CHICAGO, IL",-87.6632342,41.8714531999999,"Two to Six Apartments, Over 62 Years",0
"1438 W TAYLOR ST, CHICAGO, IL",-87.6632304999999,41.8695219,"Mixed use commercial/residential with apts. above seven units or more or building sq. ft. over 20,000",0
"818 S BISHOP ST, CHICAGO, IL",-87.6632235999999,41.8710566,"Two to Six Apartments, Over 62 Years",0
"830 S BISHOP ST, CHICAGO, IL",-87.6632151,41.8707228999999,"Two to Six Apartments, Over 62 Years",0
"918 S BISHOP ST, CHICAGO, IL",-87.6632098999999,41.8699781999999,"Two to Six Apartments, Over 62 Years",0
"828 S BISHOP ST, CHICAGO, IL",-87.6632086,41.8707815,"Two to Six Apartments, Over 62 Years",0
"902 S BISHOP ST, CHICAGO, IL",-87.663201,41.8703703999999,"Two to Six Apartments, Over 62 Years",0
"906 S BISHOP ST, CHICAGO, IL",-87.663199,41.8703124,"Two to Six Apartments, Over 62 Years",0
"900 S BISHOP ST, CHICAGO, IL",-87.6631978,41.8704474,"Two to Six Apartments, Over 62 Years",0
"836 S BISHOP ST, CHICAGO, IL",-87.6631952999999,41.8705861999999,"Two to Six Apartments, Over 62 Years",0
"922 S BISHOP ST, CHICAGO, IL",-87.6631950999999,41.8698716999999,"Two to Six Apartments, Over 62 Years",0
"910 S BISHOP ST, CHICAGO, IL",-87.6631943999999,41.8701651,"Two to Six Apartments, Over 62 Years",0
"908 S BISHOP ST, CHICAGO, IL",-87.6631936,41.87024,"Two to Six Apartments, Over 62 Years",0
